Ed Pednault, - 
Neela Khan, + 
Bir Bhanu, + 
Arlindo Oliveira, - 
Irina Tchoumatchenko, - 
Robert C. Holte, + 
Michele Sebag, + 
Jorg-Uwe Kietz, + 
Yoshifumi Sakai, + 
Thomas E. Kammeyer, - 
Yoav Freund, + 
R. Andrew McCallum, - 
Jonathan Gratch, + 
Margo Guertin, + 
Huw Roberts, + 
Sally Goldman, + 
Bhaskar Dasgupta, - 
Fernando Pereira, + 
Nina Mishra, + 
Wray Buntine, - 
William A. Greene, + 
Yolanda Gil, + 
Chris Drummond, - 
Claude Sammut, - 
Charles X. Ling, - 
Sanjay Jain, + 
Stefan Kramer, - 
Cristina Baroglio, - 
Dwight Schrute, + 
Leslie Pack Kaelbling, + 
Philip Chan, - 
Yishay Mansour, + 
Michael I. Jordan, + 
Patrick M. Murphy, + 
Karsten Verbeurgt, + 
Attilio Giordana, - 
Gerald F. DeJong, + 
Thomas Zeugmann, - 
Mandayam T. Suraj, + 
Michael Littman, + 
Shaul Markovitch, - 
Eric Allender, - 
Cullen Schaffer, + 
Roberto Piola, + 
Nader Bshouty, + 
Bruce A. MacDonald, - 
Kamal M. Ali, + 
Foster J. Provost, + 
Wolfgang Janko, + 
Seth Flanders, + 
Peter Bartlett, + 
Craig Knoblock, - 
Earl S. Harris Jr., + 
Prasad Tadepalli, - 
Stan Matwin, - 
Pascal Koiran, + 
Sandra Panizza, + 
George Berg, + 
Stephen Kwek, - 
J. R. Quinlan, - 
Sebastian Seung, + 
Susan L. Epstein, + 
Priscilla Rasmussen, - 
Steven Minton, - 
Lance Riley, + 
Jose L. Balcazar, + 
William Sakas, + 
Claudio Facchinetti, - 
Vijay Raghavan, + 
Bob Evans, + 
Neil Berkman, + 
Masayuki Inaba, + 
Shai Ben-David, - 
Dan Roth, + 
Lisa Hellerstein, + 
Geoffrey Gordon, + 
Paul Vitanyi, + 
Anselm Blumer, - 
Jeff Jackson, + 
Steven W. Norton, - 
R. Bharat Rao, - 
Matthias Heger, + 
Nicolo Cesa-Bianchi, + 
David Montgomery, + 
Patricia J. Riddle, + 
J. Jeffrey Mahoney, - 
Kazushi Ikeda, + 
Thomas G. Dietterich, - 
Pang-Chieh Chen, + 
Paul Utgoff, + 
Joseph O'Sullivan, + 
Toshiyasu Matsushima, + 
Timothy P. Barber, + 
Phil Long, - 
Tal Grossman, + 
Donna Slonim, + 
Tatsuo Unemi, + 
Krishnan Pillaipakkamnatt, - 
Lorenza Saitta, + 
Usama Fayyad, - 
Jude Shavlik, + 
David Helmbold, + 
Grigoris Karakoulas, - 
Tom Hancock, + 
Drago Indjic, - 
Gary Weiss, + 
Frank Stephan, - 
Kenji Yamanishi, + 
Wan P. Chiang, + 
Yoram Singer, + 
Melinda T. Gervasio, + 
Kate Goelz, + 
Roni Khardon, + 
Nikolay Nikolaev, + 
George H. John, + 
Diana Gordon, + 
